t p i e
468.091492 1 969 2
468.400635 1 970 2
468.641357 1 971 2
468.898895 1 972 2
469.087097 1 973 2
469.392853 1 974 2
469.589050 1 975 2
469.862091 1 976 2
470.154968 1 977 2
470.361755 1 978 2
470.470184 1 979 2
470.636963 1 980 2
472.446625 1 981 2
474.340363 1 982 2
474.688873 1 983 3
474.788849 1 984 3
474.876892 1 985 3
474.995209 1 986 2
475.245911 1 987 2
475.534698 1 988 2
475.756500 1 989 2
478.067383 1 990 2
480.472778 1 991 2
483.484406 1 992 2
485.843597 1 993 3
486.520142 1 994 4
486.546082 1 995 4
486.620758 1 996 2
486.739746 1 997 3
486.826477 1 998 2
486.932220 1 999 2
488.555328 1 1000 2
489.338806 1 1001 2
489.806549 1 1002 3
490.084778 1 1003 2
490.807770 1 1004 2
491.450073 1 1005 2
491.906525 1 1006 2
492.611206 1 1007 3
493.034760 1 1008 3
493.885040 1 1009 3
494.618256 1 1010 3
495.008484 1 1011 3
495.578156 1 1012 3
496.289978 1 1013 3
497.310852 1 1014 3
498.670685 1 1015 3
498.766388 1 1016 3
498.874847 1 1017 2
499.180084 1 1018 2
499.280182 1 1019 2
499.446808 1 1020 2
500.505341 1 1021 2
500.921600 1 1022 2
501.936188 1 1023 3
502.090942 1 1024 4
502.492767 1 1025 4
502.615143 1 1026 4
502.827423 1 1027 3
503.298706 1 1028 4
503.590240 1 1029 3
503.643524 1 1030 3
504.113159 1 1031 2
505.237732 1 1032 2
506.546936 1 1033 2
507.668091 1 1034 3
508.724579 1 1035 4
508.751434 1 1036 4
508.842712 1 1037 3
509.814301 1 1038 2
511.335297 1 1039 2
514.284973 1 1040 2
514.881958 1 1041 4
515.397705 1 1042 4
515.753174 1 1043 4
515.907898 1 1044 4
516.029724 1 1045 4
516.289307 1 1046 4
516.569702 1 1047 4
516.692627 1 1048 4
516.853455 1 1049 3
517.202454 1 1050 3
517.470764 1 1051 2
518.342102 1 1052 3
518.451416 1 1053 2
518.542725 1 1054 2
518.689148 1 1055 2
518.797974 1 1056 2
519.044006 1 1057 3
520.221008 1 1058 2
521.681396 1 1059 3
522.384399 1 1060 4
523.721741 1 1061 4
524.574829 1 1062 4
524.619141 1 1063 3
524.828125 1 1064 3
524.964478 1 1065 3
525.645996 1 1066 3
526.673889 1 1067 3
527.251343 1 1068 3
528.260620 1 1069 4
528.850342 1 1070 4
529.438599 1 1071 4
529.631287 1 1072 4
530.158997 1 1073 4
530.188110 1 1074 4
530.220764 1 1075 2
530.282227 1 1076 3
530.356812 1 1077 2
530.509338 1 1078 2
530.608337 1 1079 2
530.696289 1 1080 2
532.419373 1 1081 2
533.592590 1 1082 2
535.314819 1 1083 4
535.618408 1 1084 4
535.970520 1 1085 4
536.007507 1 1086 4
536.051575 1 1087 2
536.401855 1 1088 2
536.655090 1 1089 2
536.936646 1 1090 2
537.090454 1 1091 2
537.900940 1 1092 2
539.917603 1 1093 3
540.506592 1 1094 3
540.846924 1 1095 4
541.160522 1 1096 4
541.289185 1 1097 4
541.349548 1 1098 4
541.514893 1 1099 3
541.786194 1 1100 3
541.895996 1 1101 3
